city,id_room,price,max_tenants,mq,has_large_bed,baths
Bologna,bo-0075-01-a,535,7,21.0,True,2
Bologna,bo-0058-03-a,485,7,16.0,True,2
Bologna,bo-0074-01-a,475,5,10.0,False,2
Bologna,bo-0065-04-a,500,6,22.0,True,2
Bologna,bo-0062-04-a,495,6,20.0,True,2
Bologna,bo-0069-05-a,500,6,21.0,True,2
Bologna,bo-0074-05-a,540,5,34.0,True,2
Bologna,bo-0075-06-a,475,7,11.0,True,2
Bologna,bo-0068-04-a,475,7,20.0,False,2
Bologna,bo-0045-01-a,445,8,9.0,False,2
Bologna,bo-0088-01-a,425,8,10.35,False,3
Bologna,bo-0061-04-a,475,6,16.0,True,2
Bologna,bo-0068-02-a,470,7,17.0,True,2
Bologna,bo-0039-03-a,430,4,22.0,True,1
Bologna,bo-0018-03-a,400,4,15.0,True,1
Bologna,bo-0022-05-a,455,6,14.0,True,2
Bologna,bo-0062-05-a,465,6,14.0,True,2
Bologna,bo-0058-04-a,470,7,13.0,False,2
Bologna,bo-0086-06-a,440,8,13.96,False,3
Bologna,bo-0063-06-a,465,6,14.0,True,2
Bologna,bo-0083-04-a,535,4,22.6,True,1
Bologna,bo-0083-01-a,490,4,13.78,True,1
Bologna,bo-0008-03-a,490,3,21.0,False,2
Bologna,bo-0089-02-a,425,8,11.17,False,3
Bologna,bo-0054-03-a,495,6,21.0,False,2
Bologna,bo-0014-01-a,455,5,18.6,True,2
Bologna,bo-0006-02-a,405,4,17.0,False,1
Bologna,bo-0064-05-a,440,6,11.0,False,2
Bologna,bo-0007-04-a,450,4,19.0,True,1
Bologna,bo-0082-03-a,400,10,11.98,False,3
Bologna,bo-0071-03-a,455,6,14.0,True,2
Bologna,bo-0045-05-a,500,8,16.0,True,2
Bologna,bo-0044-03-a,530,6,22.0,True,2
Bologna,bo-0051-03-a,475,5,19.0,True,2
Bologna,bo-0075-05-a,500,7,18.0,True,2
Bologna,bo-0089-03-a,450,8,15.2,True,3
Bologna,bo-0080-02-a,455,3,15.04,True,2
Bologna,bo-0073-01-a,610,6,14.0,True,2
Bologna,bo-0068-05-a,455,7,14.0,True,2
Bologna,bo-0048-01-a,415,3,9.0,False,1
Bologna,bo-0075-02-a,620,7,19.0,True,2
Bologna,bo-0044-01-a,455,6,14.0,True,2
Bologna,bo-0067-03-a,580,6,16.0,True,2
Bologna,bo-0069-01-a,555,6,14.0,True,2
Bologna,bo-0061-03-a,610,6,22.0,True,2
Bologna,bo-0089-04-a,545,8,14.16,True,3
Bologna,bo-0089-06-a,555,8,15.02,False,3
Bologna,bo-0087-05-a,540,8,13.77,False,3
Bologna,bo-0065-06-a,570,6,16.0,True,2
Bologna,bo-0006-01-a,520,4,22.0,True,1
Bologna,bo-0075-04-a,585,7,14.0,True,2
Bologna,bo-0111-01-a,640,3,15.53,False,1
Bologna,bo-0073-04-a,625,6,20.0,True,2
Bologna,bo-0067-06-a,570,6,16.0,True,2
Bologna,bo-0066-03-a,580,7,18.0,True,2
Bologna,bo-0062-03-a,555,6,13.0,False,2
Bologna,bo-0059-04-a,585,5,16.0,True,2
Bologna,bo-0060-04-a,600,6,20.0,True,2
Bologna,bo-0060-06-a,600,6,20.0,True,2
Bologna,bo-0045-07-a,660,8,25.0,True,2
Bologna,bo-0027-02-a,555,4,13.0,True,1
Bologna,bo-0086-03-a,560,8,17.47,True,3
Bologna,bo-0064-01-a,570,6,15.0,False,2
Bologna,bo-0067-02-a,520,6,11.0,False,2
Bologna,bo-0070-04-a,580,7,20.0,True,2
Bologna,bo-0057-07-a,595,9,14.0,True,3
Bologna,bo-0076-03-a,560,5,11.0,False,2
Bologna,bo-0066-05-a,570,7,14.0,True,2
Bologna,bo-0053-04-a,570,6,13.0,True,3
Bologna,bo-0061-02-a,610,6,21.0,True,2
Bologna,bo-0006-04-a,520,4,20.0,True,1
Bologna,bo-0111-02-a,640,3,16.91,False,1
Bologna,bo-0017-02-a,510,4,14.0,True,2
Bologna,bo-0027-01-a,540,4,11.0,False,1
Bologna,bo-0014-04-a,595,5,23.58,True,2
Bologna,bo-0073-02-a,600,6,15.0,True,2
Bologna,bo-0075-03-a,660,7,23.0,True,2
Bologna,bo-0074-02-a,585,5,11.0,True,2
Bologna,bo-0035-02-a,585,2,15.0,False,1
Bologna,bo-0082-07-a,490,10,10.73,False,3
Bologna,bo-0082-05-a,490,10,10.44,False,3
Bologna,bo-0059-01-a,585,5,15.0,True,2
Bologna,bo-0066-06-a,585,7,18.0,True,2
Bologna,bo-0058-06-a,570,7,14.0,True,2
Bologna,bo-0064-06-a,570,6,15.0,True,2
Bologna,bo-0059-05-a,570,5,14.0,True,2
Bologna,bo-0063-01-a,580,6,15.0,True,2
Bologna,bo-0060-05-a,570,6,15.0,True,2
Bologna,bo-0058-01-a,580,7,14.0,True,2
Bologna,bo-0060-02-a,580,6,17.0,True,2
Bologna,bo-0065-03-a,585,6,16.0,True,2
Bologna,bo-0058-02-a,595,7,16.0,True,2
Bologna,bo-0061-05-a,585,6,15.0,True,2
Bologna,bo-0064-04-a,585,6,16.0,True,2
Bologna,bo-0064-03-a,615,6,22.0,True,2
Bologna,bo-0088-03-a,560,8,17.47,True,3
Bologna,bo-0065-01-a,570,6,14.0,True,2
Bologna,bo-0060-03-a,555,6,13.0,False,2
Bologna,bo-0047-01-a,555,5,20.0,True,2
Bologna,bo-0009-02-a,580,5,14.0,True,2
Bologna,bo-0047-05-a,540,5,19.0,True,2
Bologna,bo-0081-02-a,560,3,15.0,True,2
Bologna,bo-0088-06-a,540,8,13.96,False,3
Bologna,bo-0088-04-a,555,8,16.2,True,3
Bologna,bo-0063-04-a,585,6,16.0,True,2
Bologna,bo-0046-02-a,640,4,20.0,True,2
Bologna,bo-0022-04-a,545,6,12.0,True,2
Bologna,bo-0069-06-a,560,6,16.0,True,2
Bologna,bo-0019-04-a,505,4,20.0,True,1
Bologna,bo-0070-05-a,555,7,13.0,True,2
Bologna,bo-0066-02-a,580,7,17.0,True,2
Bologna,bo-0082-06-a,490,10,10.37,False,3
Bologna,bo-0008-01-a,760,3,22.0,True,2
Bologna,bo-0010-03-a,720,5,20.0,False,2
Bologna,bo-0047-04-a,530,5,15.0,True,2
Bologna,bo-0101-05-a,675,7,24.74,True,3
Bologna,bo-0056-04-a,630,5,20.0,True,2
Bologna,bo-0085-02-a,745,3,17.56,True,1
Bologna,bo-0084-03-a,790,3,16.27,True,1
Bologna,bo-0084-01-a,800,3,16.42,True,1
Bologna,bo-0082-08-a,635,10,17.01,True,3
Bologna,bo-0014-03-a,650,5,13.8,True,2
Bologna,bo-0027-03-a,700,4,14.95,False,1
Bologna,bo-0082-10-a,610,10,10.47,False,3
Bologna,bo-0002-01-a,720,4,10.0,False,2
Bologna,bo-0082-09-a,610,10,10.49,False,3
Bologna,bo-0075-07-a,730,7,11.0,True,2
Bologna,bo-0002-03-a,750,4,23.0,True,2
Bologna,bo-0085-01-a,720,3,15.43,True,1
Bologna,bo-0066-07-a,720,7,17.0,True,2
Bologna,bo-0002-04-a,775,4,27.0,True,2
Bologna,bo-0067-01-a,690,6,14.0,True,2
Bologna,bo-0071-01-a,680,6,12.0,True,2
Bologna,bo-0022-02-a,720,6,16.0,True,2
Bologna,bo-0088-07-a,660,8,12.52,False,3
Bologna,bo-0022-03-a,680,6,11.0,True,2
Bologna,bo-0068-06-a,700,7,15.0,True,2
Bologna,bo-0060-01-a,720,6,15.0,True,2
Bologna,bo-0069-03-a,720,6,16.0,True,2
Bologna,bo-0087-01-a,650,8,10.35,False,3
Bologna,bo-0079-01-a,750,3,22.91,True,2
Bologna,bo-0089-01-a,650,8,11.27,False,3
Bologna,bo-0009-01-a,765,5,23.0,True,2
Bologna,bo-0062-06-a,750,6,19.0,True,2
Bologna,bo-0007-03-a,680,4,18.0,True,1
Bologna,bo-0058-05-a,790,7,20.0,True,2
Bologna,bo-0019-03-a,600,4,17.0,True,1
Bologna,bo-0035-01-a,690,2,10.0,False,1
Bologna,bo-0053-02-a,770,6,19.0,True,3
Bologna,bo-0076-01-a,800,5,20.0,True,2
Bologna,bo-0047-02-a,660,5,14.0,True,2
Bologna,bo-0044-04-a,810,6,24.0,True,2
Bologna,bo-0017-01-a,655,4,16.0,True,2
Bologna,bo-0070-07-a,750,7,20.0,True,2
Bologna,bo-0072-02-a,820,4,19.5,True,2
Bologna,bo-0044-05-a,730,6,18.0,True,2
Bologna,bo-0070-02-a,570,7,17.0,True,2
Bologna,bo-0101-04-a,780,7,18.75,True,3
Bologna,bo-0069-02-a,420,6,10.0,False,2
Milano,mi-0498-02-a,530,3,17.0,True,1
Milano,mi-0221-03-a,700,3,17.0,True,1
Milano,mi-0221-01-a,485,3,9.0,False,1
Milano,mi-1326-06-a,995,7,20.24,True,3
Milano,mi-0873-04-a,515,4,15.64,True,2
Milano,mi-1326-02-a,705,7,10.93,True,3
Milano,mi-0228-07-a,535,8,14.0,True,3
Milano,mi-1326-01-a,945,7,21.97,False,3
Milano,mi-0876-03-a,550,8,13.74,True,3
Milano,mi-0296-07-a,535,8,14.0,True,3
Milano,mi-0729-04-a,460,8,11.1,True,3
Milano,mi-0731-05-a,495,5,21.85,True,2
Milano,mi-0276-03-a,660,3,9.0,False,1
Milano,mi-0728-08-a,540,8,12.48,True,3
Milano,mi-0343-02-a,675,3,11.0,True,1
Milano,mi-0728-03-a,655,8,17.71,True,3
Milano,mi-0276-01-a,485,3,17.0,False,1
Milano,mi-0259-01-a,520,6,13.0,True,2
Milano,mi-0272-07-a,605,7,9.0,False,2
Milano,mi-0726-02-a,570,7,16.01,True,2
Milano,mi-0132-03-a,565,3,12.0,False,1
Milano,mi-0415-02-a,505,3,17.0,True,1
Milano,mi-0121-02-a,485,3,11.0,True,1
Milano,mi-0242-03-a,475,7,11.0,True,2
Milano,mi-0177-03-a,600,5,20.0,True,2
Milano,mi-1281-01-a,580,4,12.91,True,2
Milano,mi-1172-03-a,550,4,13.23,True,2
Milano,mi-0856-03-a,560,6,11.63,True,2
Milano,mi-0576-01-a,485,3,11.0,True,1
Milano,mi-0883-02-a,590,2,16.1,True,1
Milano,mi-1324-04-a,485,4,16.04,True,1
Milano,mi-0177-01-a,600,5,17.0,True,2
Milano,mi-0177-04-a,600,5,19.0,True,2
Milano,mi-0854-05-a,525,7,14.42,True,3
Milano,mi-0856-04-a,595,6,12.12,True,2
Milano,mi-0856-01-a,585,6,14.08,True,2
Milano,mi-0015-05-a,565,5,9.26,False,2
Milano,mi-1203-02-a,475,6,14.93,True,2
Milano,mi-1380-01-a,570,4,10.53,False,1
Milano,mi-0854-07-a,540,7,19.09,True,3
Milano,mi-1053-02-a,885,5,17.01,True,2
Milano,mi-0856-05-a,625,6,19.15,True,2
Milano,mi-1253-03-a,1075,3,14.89,True,1
Milano,mi-0376-04-a,1025,6,24.15,True,2
Milano,mi-0384-01-a,605,5,11.0,False,2
Milano,mi-0115-05-a,570,5,9.0,False,2
Milano,mi-0916-05-a,645,6,13.8,True,3
Milano,mi-1371-03-a,505,4,10.5,True,2
Milano,mi-1371-04-a,505,4,10.82,True,2
Milano,mi-1370-03-a,595,5,15.82,True,2
Milano,mi-1370-02-a,820,5,21.15,False,2
Milano,mi-0991-01-a,590,2,18.23,True,1
Milano,mi-0363-01-a,605,4,13.0,True,2
Milano,mi-0981-09-a,545,9,14.32,True,3
Milano,mi-1078-05-a,600,5,16.84,True,2
Milano,mi-0985-02-a,1145,3,16.38,True,2
Milano,mi-1355-02-a,565,3,14.63,True,1
Milano,mi-0828-04-a,700,6,10.35,True,3
Milano,mi-0961-03-a,510,4,17.58,True,2
Milano,mi-0348-03-a,530,3,12.0,True,1
Milano,mi-0347-05-a,540,5,14.0,True,2
Milano,mi-0344-06-a,515,9,16.0,True,3
Milano,mi-0351-05-a,520,5,12.0,False,2
Milano,mi-0980-03-a,810,5,19.12,True,2
Milano,mi-1355-03-a,565,3,16.56,True,1
Milano,mi-0828-06-a,945,6,12.31,True,3
Milano,mi-0354-01-a,385,6,10.0,False,2
Milano,mi-1355-01-a,550,3,16.25,False,1
Milano,mi-0829-03-a,650,6,17.04,True,2
Milano,mi-0352-04-a,490,4,13.0,True,1
Milano,mi-1077-01-a,775,4,14.21,True,2
Milano,mi-0826-06-a,625,6,14.19,True,2
Milano,mi-0313-01-a,605,5,17.0,True,2
Milano,mi-1067-01-a,545,3,15.56,True,1
Milano,mi-0951-03-a,530,3,10.38,False,1
Milano,mi-1347-01-a,700,6,11.21,True,2
Milano,mi-1057-06-a,520,6,13.77,True,2
